"Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Coffee Type,Coffe Type Name ,Roast Type,Roast Type Name ,Size,Unit Price,Sales,Loyalty Card"
"QEV-37451-860,05-Sep-19,17670-51384-MA,R-M-1,2,Aloisia Allner,aallner0@lulu.com,United States,Rob,Robusta,M,Medium,1.00,$9.95,$19.90,Yes"
"QEV-37451-860,05-Sep-19,17670-51384-MA,E-M-0.5,5,Aloisia Allner,aallner0@lulu.com,United States,Exc,Excelsa,M,Medium,0.50,$8.25,$41.25,Yes"
"FAA-43335-268,17-Jun-21,21125-22134-PX,A-L-1,1,Jami Redholes,jredholes2@tmall.com,United States,Ara,Arabica,L,Light,1.00,$12.95,$12.95,Yes"
"KAC-83089-793,15-Jul-21,23806-46781-OU,E-M-1,2,Christoffer O' Shea,,Ireland,Exc,Excelsa,M,Medium,1.00,$13.75,$27.50,No"
"KAC-83089-793,15-Jul-21,23806-46781-OU,R-L-2.5,2,Christoffer O' Shea,,Ireland,Rob,Robusta,L,Light,2.50,$27.49,$54.97,No"
"CVP-18956-553,04-Aug-21,86561-91660-RB,L-D-1,3,Beryle Cottier,,United States,Lib,Liberica,D,Dark,1.00,$12.95,$38.85,No"
"IPP-31994-879,21-Jan-22,65223-29612-CB,E-D-0.5,3,Shaylynn Lobe,slobe6@nifty.com,United States,Exc,Excelsa,D,Dark,0.50,$7.29,$21.87,Yes"
"SNZ-65340-705,20-May-22,21134-81676-FR,L-L-0.2,1,Melvin Wharfe,,Ireland,Lib,Liberica,L,Light,0.20,$4.76,$4.76,Yes"
"EZT-46571-659,02-Jan-19,03396-68805-ZC,R-M-0.5,3,Guthrey Petracci,gpetracci8@livejournal.com,United States,Rob,Robusta,M,Medium,0.50,$5.97,$17.91,No"
"NWQ-70061-912,05-Sep-19,61021-27840-ZN,R-M-0.5,1,Rodger Raven,rraven9@ed.gov,United States,Rob,Robusta,M,Medium,0.50,$5.97,$5.97,No"
"BKK-47233-845,08-Mar-21,76239-90137-UQ,A-D-1,4,Ferrell Ferber,fferbera@businesswire.com,United States,Ara,Arabica,D,Dark,1.00,$9.95,$39.80,No"
"VQR-01002-970,28-Oct-20,49315-21985-BB,E-L-2.5,5,Duky Phizackerly,dphizackerlyb@utexas.edu,United States,Exc,Excelsa,L,Light,2.50,$34.16,$170.78,Yes"
"SZW-48378-399,02-Jul-22,34136-36674-OM,R-M-1,5,Rosaleen Scholar,rscholarc@nyu.edu,United States,Rob,Robusta,M,Medium,1.00,$9.95,$49.75,No"
"ITA-87418-783,22-May-20,39396-12890-PE,R-D-2.5,2,Terence Vanyutin,tvanyutind@wix.com,United States,Rob,Robusta,D,Dark,2.50,$20.59,$41.17,No"
"GNZ-46006-527,05-Apr-22,95875-73336-RG,L-D-0.2,3,Patrice Trobe,ptrobee@wunderground.com,United States,Lib,Liberica,D,Dark,0.20,$3.89,$11.66,Yes"
"FYQ-78248-319,07-Jun-22,25473-43727-BY,R-M-2.5,5,Llywellyn Oscroft,loscroftf@ebay.co.uk,United States,Rob,Robusta,M,Medium,2.50,$22.89,$114.43,No"
"VAU-44387-624,20-Mar-19,99643-51048-IQ,A-M-0.2,6,Minni Alabaster,malabasterg@hexun.com,United States,Ara,Arabica,M,Medium,0.20,$3.38,$20.25,No"
"RDW-33155-159,19-Oct-19,62173-15287-CU,A-L-1,6,Rhianon Broxup,rbroxuph@jimdo.com,United States,Ara,Arabica,L,Light,1.00,$12.95,$77.70,No"
